Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.6201283182409236,1.6933497726063989,1.6032957520223263,1.6916664838790894,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127069779419912,1.716073394607065,1.6706257262015356,1.683250069618225,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832502965735487,1.6874583581040796,1.6580016063358487,1.6748340129852295,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.6664176722436537,1.6664176722436537,1.5780470989152977,1.6075040102005005,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.615920543900883,1.6622098684310913,1.6032960367314837,1.6622098684310913,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563183724217407,1.6706260068380219,1.6411690935660002,1.6580016613006592,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.670626067778491,1.670626067778491,1.615920461436213,1.628544807434082,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243363857056468,1.653793296436526,1.6058206912166149,1.6411689519882202,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327526688469336,1.6580015182707941,1.6066623355834684,1.6411689519882202,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.6285441831809022,1.6293858273284438,1.5990872801257754,1.6117116212844849,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159202935001657,1.636960921485703,1.6075040102005005,1.6075040102005005,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032956675477572,1.6453769203498214,1.5974043178398265,1.63022780418396,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369610318959669,1.667259429080185,1.634436098577589,1.6580016613006592,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.649585183777812,1.6537932449538337,1.6125536354252938,1.6201282739639282,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286878789586,1.6352778026680965,1.615920461436213,1.628544807434082,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285447366630348,1.7337478829522843,1.6285447366630348,1.7185986042022705,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084991784165255,1.7674130096145888,1.7084991784165255,1.7589967250823975,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.75057973102979,1.801077257228713,1.746371670732884,1.7817199230194092,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.7674128047056807,1.8431590356590444,1.7674128047056807,1.7842453718185425,5819200,0.0,0.0
2002-03-13 00:00:00-05:00,1.784245294523696,1.8094939835719392,1.7379558172322498,1.76909601688385,5063200,0.0,0.0
2002-03-14 00:00:00-05:00,1.7690960705102348,1.7842453486092988,1.7539467924111705,1.767412781715393,1696800,0.0,0.0
2002-03-15 00:00:00-05:00,1.7674130089703497,1.775829293499473,1.6748342002045429,1.7127074003219604,1708000,0.0,0.0
2002-03-18 00:00:00-05:00,1.7169159100487021,1.7169159100487021,1.6032964405948014,1.624337077140808,2207200,0.0,0.0
2002-03-19 00:00:00-05:00,1.6369609536080432,1.6411690150768252,1.5654227849479614,1.5738390684127808,3229600,0.0,0.0
2002-03-20 00:00:00-05:00,1.561214504434068,1.561214504434068,1.4307626774643907,1.516608476638794,9236000,0.0,0.0
2002-03-21 00:00:00-05:00,1.5166085589071978,1.6201284138361614,1.5166085589071978,1.5780471563339233,4427200,0.0,0.0
2002-03-22 00:00:00-05:00,1.5780477409505198,1.6487442925872886,1.5578487491296313,1.624337077140808,2494400,0.0,0.0
2002-03-25 00:00:00-05:00,1.6411687276736469,1.6672590573710915,1.6142367537243845,1.659684419631958,7571200,0.0,0.0
2002-03-26 00:00:00-05:00,1.683250481085268,1.6916667655961495,1.6647347835831492,1.6815671920776367,1816800,0.0,0.0
2002-03-27 00:00:00-05:00,1.6815671256525602,1.7674129353233832,1.674834130415276,1.733747959136963,1369600,0.0,0.0
2002-03-28 00:00:00-05:00,1.7253314679086715,1.7337477510770907,1.691666495762245,1.700082778930664,1714400,0.0,0.0
2002-04-01 00:00:00-05:00,1.6874579393872435,1.6874579393872435,1.5990873849558345,1.6032954454421997,1880000,0.0,0.0
2002-04-02 00:00:00-05:00,1.599087800765559,1.599087800765559,1.5443821975816627,1.5687892436981201,2098400,0.0,0.0
2002-04-03 00:00:00-05:00,1.5696308347988412,1.5822551796390014,1.551956784128068,1.565422773361206,567200,0.0,0.0
2002-04-04 00:00:00-05:00,1.5612146115302794,1.6032958696365107,1.5612146115302794,1.5948797464370728,763200,0.0,0.0
2002-04-05 00:00:00-05:00,1.5948795783682417,1.6327526103564236,1.556164741516113,1.5561647415161133,837600,0.0,0.0
2002-04-08 00:00:00-04:00,1.5654224955140543,1.5654224955140543,1.495567628567985,1.5401736497879028,1558400,0.0,0.0
2002-04-09 00:00:00-04:00,1.5317578592777257,1.6159203754901883,1.5317578592777257,1.5948797464370728,3562400,0.0,0.0
2002-04-10 00:00:00-04:00,1.590671723831746,1.6032960707416646,1.5780473769218275,1.5923550128936768,1302400,0.0,0.0
2002-04-11 00:00:00-04:00,1.5915132173785103,1.5915132173785103,1.557006597518921,1.557006597518921,1444000,0.0,0.0
2002-04-12 00:00:00-04:00,1.569631015665947,1.569631015665947,1.5199751144492275,1.5359660387039185,1236000,0.0,0.0
2002-04-15 00:00:00-04:00,1.5317575547422309,1.562897589654488,1.5309159104841659,1.5620559453964233,1559200,0.0,0.0
2002-04-16 00:00:00-04:00,1.578047087318019,1.6159202816245517,1.578047087318019,1.5990877151489258,1225600,0.0,0.0
2002-04-17 00:00:00-04:00,1.6201284890832932,1.704291007996711,1.6201284890832932,1.6672594547271729,3348800,0.0,0.0
2002-04-18 00:00:00-04:00,1.667259454727173,1.6958747239999163,1.6613681040875963,1.6672594547271729,984800,0.0,0.0
2002-04-19 00:00:00-04:00,1.6672596137804618,1.7127074553824295,1.6672596137804618,1.7059744596481323,646400,0.0,0.0
2002-04-22 00:00:00-04:00,1.6958744130349146,1.6958744130349146,1.667259149009226,1.683250069618225,772800,0.0,0.0
2002-04-23 00:00:00-04:00,1.6790419297223194,1.7042906153687427,1.641168740725456,1.6453768014907837,824800,0.0,0.0
2002-04-24 00:00:00-04:00,1.6428523216946074,1.6504269608423785,1.632752749321827,1.6335943937301636,1064800,0.0,0.0
2002-04-25 00:00:00-04:00,1.6335948976510548,1.6335948976510548,1.613395907201896,1.6327532529830933,1727200,0.0,0.0
2002-04-26 00:00:00-04:00,1.6243363351399498,1.6479018950965056,1.6201282739639282,1.6201282739639282,1653600,0.0,0.0
2002-04-29 00:00:00-04:00,1.6117122893442555,1.6117122893442555,1.5822553740791454,1.5906716585159302,2562400,0.0,0.0
2002-04-30 00:00:00-04:00,1.5780467614695735,1.6243360689284607,1.5738387009832084,1.6032954454421997,6894400,0.0,0.0
2002-05-01 00:00:00-04:00,1.6243363511729758,1.725331425666809,1.6243363511729758,1.725331425666809,1672000,0.0,0.0
2002-05-02 00:00:00-04:00,1.7169150233033514,1.7665709127480396,1.7169150233033514,1.7531049251556396,3316000,0.0,0.0
2002-05-03 00:00:00-04:00,1.7505806684494019,1.751422313064918,1.7303816792589046,1.7505806684494019,463200,0.0,0.0
2002-05-06 00:00:00-04:00,1.7497386454905892,1.9012310980275269,1.7497386454905892,1.83053457736969,2146400,0.0,0.0
2002-05-07 00:00:00-04:00,1.822118243281894,1.8515751528185467,1.80528583820898,1.809493899345398,452800,0.0,0.0
2002-05-08 00:00:00-04:00,1.8263264208488221,1.8936563605692787,1.8263264208488221,1.885240077972412,658400,0.0,0.0
2002-05-09 00:00:00-04:00,1.8936571403994713,1.9525709823117101,1.8936571403994713,1.9231140613555908,847200,0.0,0.0
2002-05-10 00:00:00-04:00,1.9357375181710412,1.9719274191951175,1.851575017380996,1.856624722480774,696000,0.0,0.0
2002-05-13 00:00:00-04:00,1.8574665026204287,1.8574665026204287,1.754788301935753,1.809493899345398,1929600,0.0,0.0
2002-05-14 00:00:00-04:00,1.8515757749291852,1.8852407569133474,1.7505806684494019,1.7505806684494019,3958400,0.0,0.0
2002-05-15 00:00:00-04:00,1.7421640936438372,1.7674127834826878,1.670625925064087,1.670625925064087,5829600,0.0,0.0
2002-05-16 00:00:00-04:00,1.6706260685896994,1.7421642433153852,1.6706260685896994,1.733747959136963,5286400,0.0,0.0
2002-05-17 00:00:00-04:00,1.746372370837097,1.80949426375892,1.746372370837097,1.7867703437805176,4351200,0.0,0.0
2002-05-20 00:00:00-04:00,1.7867699065265656,1.8094938209440272,1.7758288517295853,1.7993942499160767,2336000,0.0,0.0
2002-05-21 00:00:00-04:00,1.9020727257673948,1.9062807869849523,1.7211233644492518,1.725331425666809,3872000,0.0,0.0
2002-05-22 00:00:00-04:00,1.7219651100196642,1.8094942092895507,1.7084991194438772,1.7884535789489746,1847200,0.0,0.0
2002-05-23 00:00:00-04:00,1.788453430159293,1.9104891401928297,1.788453430159293,1.8860819339752197,2157600,0.0,0.0
2002-05-24 00:00:00-04:00,1.8801901159951078,1.9946511584241566,1.8801901159951078,1.974452018737793,2212000,0.0,0.0
2002-05-28 00:00:00-04:00,1.9820277431960198,2.0443081637586102,1.960987108297857,2.0375750064849854,2082400,0.0,0.0
2002-05-29 00:00:00-04:00,2.0375744050108486,2.0375744050108486,1.9778190965924165,1.9862353801727295,4728000,0.0,0.0
2002-05-30 00:00:00-04:00,1.9862356541122574,1.9862356541122574,1.9483624530410464,1.95762038230896,3941600,0.0,0.0
2002-05-31 00:00:00-04:00,1.9576201293958968,2.0451490620239547,1.9576201293958968,2.03589129447937,2708000,0.0,0.0
2002-06-03 00:00:00-04:00,2.0358912134497,2.0358912134497,1.9475204793934904,1.9567784070968628,1817600,0.0,0.0
2002-06-04 00:00:00-04:00,1.9534121420810728,2.0114843296914673,1.9273218040932696,1.9719280004501343,1933600,0.0,0.0
2002-06-05 00:00:00-04:00,1.9778190351301626,1.9929683129984985,1.944995706766936,1.9567784070968628,1752000,0.0,0.0
2002-06-06 00:00:00-04:00,1.956778407096863,1.9904433798446919,1.9517287013165017,1.9567784070968628,1403200,0.0,0.0
2002-06-07 00:00:00-04:00,1.9357379413184892,1.9559369266602797,1.89870638792824,1.9315298795700073,1752000,0.0,0.0
2002-06-10 00:00:00-04:00,1.9315299294758006,1.9609866835307912,1.8768241621684865,1.8936567306518555,854400,0.0,0.0
2002-06-11 00:00:00-04:00,1.903756232730472,1.914697289466858,1.8953399488031868,1.914697289466858,323200,0.0,0.0
2002-06-12 00:00:00-04:00,1.8944980048816893,1.8953396491941,1.8364258315432713,1.885240077972412,532000,0.0,0.0
2002-06-13 00:00:00-04:00,1.885240179191571,1.9441540000055018,1.859991490572599,1.9323711395263672,1297600,0.0,0.0
2002-06-14 00:00:00-04:00,1.9306882575925173,1.9306882575925173,1.7968698376838423,1.894498348236084,718400,0.0,0.0
2002-06-17 00:00:00-04:00,1.9020728216483416,1.9736109896436798,1.9020728216483416,1.9374210834503174,936800,0.0,0.0
2002-06-18 00:00:00-04:00,1.9374212253072967,1.9483622821419155,1.8768241089085893,1.8953399658203125,260000,0.0,0.0
2002-06-19 00:00:00-04:00,1.8936564740927322,1.9483620734610725,1.8936564740927322,1.9357377290725708,905600,0.0,0.0
2002-06-20 00:00:00-04:00,1.9239551788793365,1.9239551788793365,1.8339013118936913,1.8431590795516968,509600,0.0,0.0
2002-06-21 00:00:00-04:00,1.830534666776657,1.830534666776657,1.7589964982684403,1.767412781715393,1016000,0.0,0.0
2002-06-24 00:00:00-04:00,1.767412991163176,1.767412991163176,1.6748341833301263,1.7270150184631348,1092800,0.0,0.0
2002-06-25 00:00:00-04:00,1.727015032120031,1.7497389521412283,1.6815671920776367,1.6815671920776367,829600,0.0,0.0
2002-06-26 00:00:00-04:00,1.6622096951961387,1.6622096951961387,1.545223849029539,1.5948797464370728,2882400,0.0,0.0
2002-06-27 00:00:00-04:00,1.6075038485908522,1.683250069618225,1.591512927981853,1.683250069618225,1632000,0.0,0.0
2002-06-28 00:00:00-04:00,1.6790421190224103,1.7943446664751108,1.6689425473088488,1.766571044921875,3480000,0.0,0.0
2002-07-01 00:00:00-04:00,1.7589966423539014,1.7665712820238981,1.6537934919675763,1.6613681316375732,1088000,0.0,0.0
2002-07-02 00:00:00-04:00,1.6605263542954636,1.6605263542954636,1.5039841882056986,1.5788887739181519,1637600,0.0,0.0
2002-07-03 00:00:00-04:00,1.5738391654867883,1.6075041408952577,1.4518034490379126,1.557006597518921,2226400,0.0,0.0
2002-07-05 00:00:00-04:00,1.5654229497869572,1.6378026099405676,1.5654229497869572,1.5999295711517334,455200,0.0,0.0
2002-07-08 00:00:00-04:00,1.6075041433517336,1.712707291993506,1.5965629259977208,1.6672594547271729,1433600,0.0,0.0
2002-07-09 00:00:00-04:00,1.6580015182707941,1.7194401123058645,1.6192866800317742,1.6411689519882202,2162400,0.0,0.0
2002-07-10 00:00:00-04:00,1.6411693580232318,1.6916669088370968,1.594880030084774,1.6159206628799438,2144000,0.0,0.0
2002-07-11 00:00:00-04:00,1.6032959471071315,1.6066625249713868,1.493884734955128,1.5511152744293213,2443200,0.0,0.0
2002-07-12 00:00:00-04:00,1.5511154691294322,1.5511154691294322,1.4787356412353199,1.4888352155685425,1052800,0.0,0.0
2002-07-15 00:00:00-04:00,1.487151579955087,1.487151579955087,1.32976769357605,1.4055140018463135,1300000,0.0,0.0
2002-07-16 00:00:00-04:00,1.3844734203391522,1.4198216826613892,1.3541748639123043,1.3625911474227905,1246400,0.0,0.0
2002-07-17 00:00:00-04:00,1.3667989566244798,1.4013055681735564,1.2035237448208742,1.3541746139526367,6398400,0.0,0.0
